,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
0,3221,710.9513,23,1,1,2,1,3,5,2.231784287908177
1,20376,2320.18,25,1,3,2,3,3,6,0.25612126138711716
2,3944,797.337,32,1,1,2,1,2,8,2.231784287908177
3,5106,2185.7722,28,1,4,1,4,2,11,2.268289748126587
4,4532,1458.3566,31,2,4,1,3,2,8,2.268289748126587
5,3436,2320.18,26,1,3,3,2,3,9,0.25612126138711716
6,2109,3309.97,22,2,4,2,2,2,4,2.268289748126587
7,11625,674.7301,49,1,1,2,1,2,7,2.231784287908177
8,22208,900.7625,29,2,1,2,2,1,7,2.231784287908177
9,11405,1658.6857,21,1,2,2,2,3,5,0.24395277464764714
10,13209,1842.9635,49,2,3,2,2,4,8,0.25612126138711716
11,3915,1391.8859,18,2,4,2,3,1,2,2.268289748126587
12,5281,568.3223,48,2,1,2,4,1,8,2.231784287908177
13,17760,1387.0472,35,1,2,3,2,3,7,0.24395277464764714
14,22159,2482.4775,23,2,3,2,1,3,5,0.25612126138711716
15,9382,1272.8628,65,2,2,2,2,2,5,0.24395277464764714
16,11657,1335.6232,71,1,2,2,1,1,12,0.24395277464764714
17,20637,1126.1676,19,1,2,3,3,3,3,0.24395277464764714
18,12230,255.9882,40,2,4,4,1,1,98,2.268289748126587
19,13834,1458.3566,32,2,5,1,2,3,1,6.280458234866058
20,8135,1228.6423,46,2,2,2,2,2,8,0.24395277464764714
21,21141,1315.9015,57,1,2,1,4,2,8,0.24395277464764714
22,1763,593.6984,70,2,1,1,2,2,98,2.231784287908177
23,21297,1458.3566,31,2,4,2,2,3,7,2.268289748126587
24,9597,1505.2494,52,1,2,3,2,4,98,0.24395277464764714
25,10025,1194.9795,73,1,2,2,4,2,6,0.24395277464764714
26,18248,1126.1676,17,1,2,7,5,1,2,0.24395277464764714
27,500,1011.5762,55,2,2,2,2,3,7,0.24395277464764714
28,2897,1458.3566,31,2,4,1,1,1,9,2.268289748126587
29,2283,811.1541,80,1,1,2,1,3,7,2.231784287908177
30,8956,593.6984,72,2,1,1,4,3,9,2.231784287908177
31,18436,576.2305,80,2,1,2,2,3,6,2.231784287908177
32,13953,2031.4657,55,1,3,1,2,1,9,0.25612126138711716
33,15832,2488.0286,20,1,4,2,2,2,11,2.268289748126587
34,14163,1306.6957,39,1,4,4,2,1,6,2.268289748126587
35,5848,3010.4989,51,1,4,1,2,1,12,2.268289748126587
36,4194,1689.2514,17,1,3,7,5,3,1,0.25612126138711716
37,1384,505.7881,59,2,2,2,1,3,9,0.24395277464764714
38,10595,520.7374,68,1,1,1,2,1,6,2.231784287908177
39,13583,2257.8742,50,1,3,2,5,1,10,0.25612126138711716
40,9799,1033.3143,60,2,2,2,4,4,4,0.24395277464764714
41,20263,1315.9015,55,1,2,1,3,1,10,0.24395277464764714
42,19608,593.6984,72,2,1,1,1,2,8,2.231784287908177
43,14517,996.9816,80,2,1,2,5,2,5,2.231784287908177
44,19080,2488.0286,21,1,3,1,2,1,5,0.25612126138711716
45,11100,614.3212,48,2,2,2,4,1,6,0.24395277464764714
46,6801,3773.1511,48,1,5,3,2,3,7,6.280458234866058
47,16349,1120.4707,80,2,1,2,5,4,98,2.231784287908177
48,42,576.2305,80,2,1,3,1,2,6,2.231784287908177
49,3888,590.1464,37,2,6,2,1,3,11,12.292626721605528
50,4432,1472.5057,43,2,4,2,4,3,4,2.268289748126587
51,13666,1306.6957,38,1,6,1,2,3,9,12.292626721605528
52,3286,1180.2928,35,2,4,2,1,2,9,2.268289748126587
