RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
3221,710.9513,23,1,1,2,1,3,5,
20376,2320.18,25,1,3,2,3,3,6,
3944,797.337,32,1,1,2,1,2,8,
5106,2185.7722,28,1,4,1,4,2,11,
4532,1458.3566,31,2,4,1,3,2,8,
3436,2320.18,26,1,3,3,2,3,9,
2109,3309.97,22,2,4,2,2,2,4,
11625,674.7301,49,1,1,2,1,2,7,
22208,900.7625,29,2,1,2,2,1,7,
11405,1658.6857,21,1,2,2,2,3,5,
13209,1842.9635,49,2,3,2,2,4,8,
3915,1391.8859,18,2,4,2,3,1,2,
5281,568.3223,48,2,1,2,4,1,8,
17760,1387.0472,35,1,2,3,2,3,7,
22159,2482.4775,23,2,3,2,1,3,5,
9382,1272.8628,65,2,2,2,2,2,5,
11657,1335.6232,71,1,2,2,1,1,12,
20637,1126.1676,19,1,2,3,3,3,3,
12230,255.9882,40,2,4,4,1,1,98,
13834,1458.3566,32,2,5,1,2,3,1,
8135,1228.6423,46,2,2,2,2,2,8,
21141,1315.9015,57,1,2,1,4,2,8,
1763,593.6984,70,2,1,1,2,2,98,
21297,1458.3566,31,2,4,2,2,3,7,
9597,1505.2494,52,1,2,3,2,4,98,
10025,1194.9795,73,1,2,2,4,2,6,
18248,1126.1676,17,1,2,7,5,1,2,
500,1011.5762,55,2,2,2,2,3,7,
2897,1458.3566,31,2,4,1,1,1,9,
2283,811.1541,80,1,1,2,1,3,7,
8956,593.6984,72,2,1,1,4,3,9,
18436,576.2305,80,2,1,2,2,3,6,
13953,2031.4657,55,1,3,1,2,1,9,
15832,2488.0286,20,1,4,2,2,2,11,
14163,1306.6957,39,1,4,4,2,1,6,
5848,3010.4989,51,1,4,1,2,1,12,
4194,1689.2514,17,1,3,7,5,3,1,
1384,505.7881,59,2,2,2,1,3,9,
10595,520.7374,68,1,1,1,2,1,6,
13583,2257.8742,50,1,3,2,5,1,10,
9799,1033.3143,60,2,2,2,4,4,4,
20263,1315.9015,55,1,2,1,3,1,10,
19608,593.6984,72,2,1,1,1,2,8,
14517,996.9816,80,2,1,2,5,2,5,
19080,2488.0286,21,1,3,1,2,1,5,
11100,614.3212,48,2,2,2,4,1,6,
6801,3773.1511,48,1,5,3,2,3,7,
16349,1120.4707,80,2,1,2,5,4,98,
42,576.2305,80,2,1,3,1,2,6,
3888,590.1464,37,2,6,2,1,3,11,
4432,1472.5057,43,2,4,2,4,3,4,
13666,1306.6957,38,1,6,1,2,3,9,
3286,1180.2928,35,2,4,2,1,2,9,
14306,710.7864,41,1,1,2,1,4,8,
5592,1306.6957,35,1,4,2,1,3,7,
22188,543.3006,52,2,1,3,4,5,4,
5432,614.3212,48,2,2,3,2,5,4,
12458,487.7537,64,2,1,2,3,2,6,
8266,3480.27,25,1,3,2,2,1,7,
6130,750.7784,15,1,5,7,5,1,2,
9649,2815.419,17,1,5,7,3,1,2,
5791,1175.4596,67,2,2,2,5,2,3,
12836,1033.3143,64,2,2,1,1,2,3,
7261,1707.2864,33,1,3,2,2,1,10,
12521,1458.3566,34,2,4,1,3,3,7,
9488,1228.6423,46,2,2,2,2,2,8,
22120,3309.97,24,2,4,1,5,1,4,
4757,1011.5762,56,2,2,2,3,2,7,
3266,1972.6065,63,1,3,1,1,3,7,
529,1500.7182,44,2,2,1,1,3,8,
2445,1462.5597,54,1,2,2,4,2,10,
2732,1032.28,57,2,2,2,2,5,6,
6560,1277.7748,60,1,2,2,4,2,9,
2121,1174.5486,52,2,2,2,2,2,7,
17648,1054.4631,63,2,2,2,2,2,9,
7260,3071.8586,44,2,4,2,1,1,10,
4545,3010.4989,54,1,4,2,5,4,8,
15549,1521.9611,42,1,4,1,1,2,12,
5386,1842.9635,46,2,3,2,1,3,10,
9789,565.6663,79,2,1,3,5,4,4,
16121,1011.5762,59,2,2,2,3,3,98,
14874,1277.7748,60,1,2,1,1,1,9,
3751,1654.985,24,2,4,2,2,2,7,
17893,3071.8586,42,2,5,2,2,1,5,
13343,548.2941,67,2,1,2,5,4,6,
8456,1011.5762,59,2,2,1,4,2,5,
13089,1753.9865,31,1,2,2,2,1,6,
11450,2263.8907,46,1,3,2,5,2,9,
1259,1500.7182,44,2,2,9,1,3,8,
8057,765.7583,67,2,1,2,5,5,4,
2182,758.7843,51,2,1,1,5,3,4,
15770,3887.8702,18,2,4,2,3,3,2,
15439,2145.1089,44,2,2,1,1,2,10,
3477,845.5947,58,1,1,2,1,2,11,
746,2347.9799,25,2,2,2,1,2,9,
16197,1668.9318,73,1,2,3,5,5,99,
12404,1681.5302,45,2,2,3,5,4,1,
1383,804.7748,80,2,1,4,5,4,4,
7050,1648.42,36,2,5,3,2,2,4,
773,2449.6518,31,1,2,2,2,2,8,
20494,3887.8702,15,2,4,7,5,1,2,
6010,790.0207,77,2,1,2,5,3,4,
4117,2460.5963,52,2,3,2,3,4,98,
5531,2573.9189,49,2,3,3,5,2,98,
5553,1472.6838,62,2,2,2,5,4,2,
7374,2162.5537,55,2,3,2,2,3,7,
18529,1648.42,36,2,4,1,2,2,8,
10474,2183.743,41,1,2,2,1,3,98,
20619,1874.8755,39,1,2,3,5,1,3,
16981,2865.2971,50,2,4,3,2,2,9,
18634,1233.864,58,2,2,3,2,2,8,
20497,1412.7871,56,2,2,2,2,3,5,
11775,2359.2416,18,1,5,2,5,3,6,
8094,3467.0767,21,2,3,1,3,1,4,
15294,1777.6166,70,2,2,1,1,3,8,
8838,1412.7871,59,2,2,2,2,1,10,
7893,3593.9922,66,1,4,2,5,3,7,
3382,942.3413,47,1,1,2,5,3,8,
8948,2000.1843,49,1,3,2,2,2,10,
9022,1607.7689,65,1,2,2,1,4,7,
16303,1943.9351,17,2,2,7,5,1,1,
9444,758.7843,53,2,1,3,5,4,5,
16042,681.2064,62,2,1,1,2,2,10,
11546,3932.0693,18,1,5,2,5,1,1,
16492,1641.6699,69,2,2,2,4,2,6,
5569,793.7301,45,2,1,2,2,2,8,
3267,3161.794,46,1,3,3,3,1,11,
8016,1062.2485,32,2,2,3,2,3,6,
19015,1784.5654,62,1,2,4,4,3,6,
10872,2883.405,55,2,4,3,1,3,10,
14623,1648.42,37,2,4,2,2,2,9,
4792,2915.9026,15,2,3,7,5,3,1,
13139,1564.8714,80,2,1,2,5,1,7,
3862,2449.6518,30,1,2,2,1,1,7,
18381,1472.6838,61,2,2,2,1,3,99,
11580,1836.6539,62,1,5,2,3,3,11,
4583,1443.147,62,2,2,2,5,3,5,
12623,1072.5545,43,2,2,1,1,1,12,
18792,6934.1533,22,2,6,2,5,3,3,
1658,1641.6699,65,2,2,1,2,1,4,
12997,1865.3576,74,1,2,2,9,1,99,
429,2666.5577,67,2,3,2,4,2,7,
18856,2460.5963,54,2,3,1,2,1,9,
18996,758.7843,52,2,1,2,2,1,10,
7224,681.2064,60,2,1,8,8,3,98,
290,2347.9799,27,2,2,1,4,2,7,
21594,666.8757,56,2,1,2,2,1,7,
20704,1155.6922,21,2,2,1,2,1,6,
13399,2000.1843,48,1,4,3,4,1,10,
20118,1777.6166,70,2,2,2,5,1,4,
7021,933.6282,75,1,1,2,1,3,7,
21081,3145.6555,18,1,4,2,5,4,3,
7896,2751.0454,75,2,3,1,5,4,4,
10146,1715.9459,49,2,2,2,4,1,10,
10715,4633.106,20,1,4,1,2,2,3,
4619,2905.766,35,1,4,2,1,2,9,
16079,1572.8277,18,1,4,3,5,1,3,
3423,1777.6166,72,2,2,2,5,3,99,
20213,1715.9459,49,2,2,3,2,2,98,
15727,1693.6848,77,2,2,1,5,1,6,
7189,3431.8919,47,2,5,1,1,2,10,
6841,2063.9574,78,1,2,2,5,1,7,
21114,4215.7254,48,1,4,3,5,4,7,
7061,1777.6166,71,2,2,2,5,2,99,
18667,2449.6518,30,1,2,2,5,3,7,
4912,1891.4565,59,1,2,2,4,5,7,
12163,2036.7695,31,2,4,2,2,2,8,
13028,3217.6634,40,2,3,3,5,2,8,
17099,2036.7695,32,2,5,3,2,1,7,
10776,1572.8277,18,1,2,9,4,3,2,
6252,829.1707,72,2,1,1,5,4,99,
